UID,Bill.Title,Fulltext.Intro.URL,Session,FinalCode,Bill/Resolution Summary
16,Celebrating the life of Dorothy G. Gwaltney.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HR87,2020,Agriculture,SUMMARY AS INTRODUCED: Celebrating the life of Dorothy G. Gwaltney.
17,"Environmental Quality, Department of; definition of environmental justice.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1162,2020,Environment,"SUMMARY AS INTRODUCED: Department of Environmental Quality; environmental  justice.  Provides that one of the purposes of the Department  of Environmental Quality is  to further environmental justice, as  defined in the  bill."
18,Health insurance; carrier contracts with pharmacy benefits managers.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1659,2020,Health,"SUMMARY AS INTRODUCED: Health insurance; carrier contracts with pharmacy benefits managers. Prohibits a health insurance carrier from entering into, amending, renewing, or extending a contract with a pharmacy benefits manager unless such contract contains provisions prohibiting the pharmacy benefits manager or his representative from reimbursing a pharmacy or pharmacist an amount less than the amount that the pharmacy benefits manager reimburses a pharmacy benefits manager affiliate for providing the same pharmacist services, calculated on a per-unit basis using the same product identifier or code number and reflecting all drug manufacturer's rebates, direct and indirect administrative fees, and costs and any remuneration. The bill applies to contracts entered into, amended, renewed, or extended on and after July 1, 2021. This bill was incorporated into HB 1290."
19,Commonwealth Corridor passenger rail service; DRPT to study feasibility of an east-west service.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SJ50,2020,Transportation,"SUMMARY AS PASSED: Study; Department of Rail and Public Transportation; Commonwealth Corridor passenger rail service; report. Requests the Department of Rail and Public Transportation to study the feasibility of an east-west Commonwealth Corridor passenger rail service connecting Hampton Roads, Richmond, and the New River Valley. SUMMARY AS PASSED SENATE: Study; Department of Rail and Public Transportation; Commonwealth Corridor passenger rail service; report. Requests the Department of Rail and Public Transportation to study the feasibility of an east-west Commonwealth Corridor passenger rail service connecting Hampton Roads, Richmond, and the New River Valley. SUMMARY AS INTRODUCED: Study; Department of Rail and Public Transportation;   Commonwealth Corridor passenger rail service; report. Requests  the  Department of Rail and Public Transportation to study the feasibility  of an east-west Commonwealth Corridor passenger rail service  connecting  Hampton Roads, Richmond, and the New River Valley."
20,Mail voter registration application forms; distribution to certain public and private institutions.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB232,2020,Government Operations,"SUMMARY AS INTRODUCED: Distribution of mail voter registration application  forms;  certain public and private institutions of higher education.  Requires the  Department of Elections to provide a reasonable number  of mail voter  registration application forms to public institutions  of higher education,  nonprofit private institutions of higher education  that are eligible to  participate in the Tuition Assistance Grant  Program, and any other education  institution that is authorized to  issue bonds. The bill requires the State Council of Higher Education  for  Virginia to assist the Department by providing a list of such  institutions and  by requesting those institutions to make the mail  voter registration application forms available to students."
22,Real estate brokers; escrow funds.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SB653,2020,Domestic Commerce,"SUMMARY AS INTRODUCED: Department of Professional and Occupational  Regulation;  real estate brokers; escrow funds. Provides that  in the event of  foreclosure of real property, all rent moneys,  regardless  of when received, shall be deposited in an  escrow account by the  end of the fifth business banking day following receipt,  unless otherwise  agreed to in writing by the principals to a lease transaction."
23,Parole; exception to limitation on the application of parole statutes.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB996,2020,Law and Crime,"SUMMARY AS INTRODUCED: Parole; exception to limitation on the  application  of parole statutes. Provides that an  incarcerated person is eligible  for parole if (i) such person was  sentenced by a jury prior to the  date of the Supreme Court of Virginia decision  in Fishback v.  Commonwealth, 260 Va. 104 (June 9, 2000), in which the  Court  held that a jury should be instructed on the fact that parole has  been  abolished, for a noncapital felony committed on or  after the  abolition of parole went into effect (on January  1, 1995) and (ii)  the jury was not instructed on the  abolition of parole in the Commonwealth."
24,Celebrating the life of Adolph Schick.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SJ54,2020,Defense,SUMMARY AS INTRODUCED: Celebrating the life of Adolph Schick.
25,House of Delegates; establishing Rules for the 2020-2021 Sessions of the General Assembly.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HR17,2020,Government Operations,SUMMARY AS INTRODUCED: Establishing the Rules of the House of Delegates for the 2020    - 2021 Sessions of the General Assembly of Virginia.
26,"Cybersecurity; care and disposal of customer records, security for connected devices.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB954,2020,Civil Rights,"SUMMARY AS INTRODUCED: Cybersecurity; care and disposal of customer records; security for connected devices. Requires any business to take all reasonable steps to dispose of, or arrange for the disposal of, customer records within its custody or control containing personal information when the records are no longer to be retained by the business by shredding, erasing, or otherwise modifying the personal information in those records to make it unreadable or indecipherable. The measure requires any business that owns, licenses, or maintains personal information about a customer to implement and maintain reasonable security procedures and practices appropriate to the nature of the information in order to protect the personal information from unauthorized access, destruction, use, modification, or disclosure. A violation of these requirements constitutes a prohibited practice under the Virginia Consumer Protection Act. The measure also requires a manufacturer of a device or other physical object that is capable of connecting directly or indirectly to the Internet to (i) equip the device with reasonable security features, (ii) demonstrate conformity with industry standards for cybersecurity and resiliency, (iii) provide an opt-in forum or registration capability to allow consumers to know when a vulnerability or breach is discovered, (iv) make patch notification and end-of-life support events easily obtainable by registered users of the manufacturer's connected devices, and (v) when it is aware of existing vulnerabilities that put more than 500 users at risk, notify the office of the Chief Information Officer of the Commonwealth and provide remediation steps to consumers without unreasonable delay. The bill has a delayed effective date of January 1, 2021."
27,Virginia's Mental Health Region; designating as Roanoke and New River Valleys.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ88,2020,Health,SUMMARY AS PASSED HOUSE: Virginia's Mental Health Region. Designates  the Roanoke and New River Valleys as Virginia's Mental Health Region. SUMMARY AS INTRODUCED: Virginia's Mental Health Region. Designates  the Roanoke  and New River Valleys as Virginia's Mental Health Region.
30,Unmanned aerial systems; local regulation.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB311,2020,Transportation,"SUMMARY AS INTRODUCED: Local regulation of unmanned aerial systems. Authorizes a political subdivision to adopt time, place, or manner restrictions regarding the takeoff or landing of unmanned aerial systems on property owned by the political subdivision. This bill was incorporated into HB 742."
31,Tuskegee Airmen Commemoration Day.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ732,2019,Defense,"SUMMARY AS INTRODUCED: Tuskegee Airmen Commemoration Day. Designates  the  fourth Thursday in March, in 2019 and in each succeeding year,  as Tuskegee  Airmen Commemoration Day in Virginia."
32,Insurance agents; continuing education requirements.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1747,2019,Education,"SUMMARY AS INTRODUCED:  Insurance agents; continuing education requirements. Revises the timeline for completion of continuing education course information or waiver requirements by insurance agents to a schedule that is biennial, based on the agent's month and year of birth. Current law requires insurance agents to complete and submit proof of such requirements to the insurance continuing education board (the Board) by no later than December 31, or the next working day thereafter if December 31 falls on a weekend, of each even-numbered year. The measure provides a process by which insurance agents may request a waiver under particular extenuating circumstances and a process by which the Board may approve or disapprove such waiver application. The measure modifies the membership of the Board and the criteria for selection by the State Corporation Commission of the same. The bill has a delayed effective date of January 1, 2021. The measure contains technical amendments. The bill is incorporated into SB 1222."
33,Commending Larkspur Middle School.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ1050,2019,Education,SUMMARY AS INTRODUCED: Commending Larkspur Middle School.
34,Commending RevolutionaryVA250.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HR345,2019,Government Operations,SUMMARY AS INTRODUCED: Commending RevolutionaryVA250.
35,Celebrating the life of William R. Ferguson.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SR149,2019,Defense,SUMMARY AS INTRODUCED: Celebrating the life of William R. Ferguson.
36,Forester title; educational criteria.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB2341,2019,Public Lands,"SUMMARY AS PASSED HOUSE: Forester title. Authorizes a person who has met the educational criteria for Certified Forester, as reviewed and officially recognized in writing by the Society of American Foresters (the Society), to use the title of ""forester"" in connection with any practice of forestry. Current law limits such use of the title to a person who holds a baccalaureate or higher degree from an institution of higher education, having completed a degree program that is accredited by the Society and meets the Society's minimum education criteria in certain fields of study. The bill provides that no person shall be appointed by the Governor to serve as State Forester unless he meets certain requirements as set out in the bill. The bill contains technical amendments. SUMMARY AS INTRODUCED: Forester title. Authorizes a person who  has met the  educational criteria for Certified Forester, as reviewed  and officially  recognized in writing by the Society of American Foresters   (the Society), to use the title of ""forester"" in connection  with  any practice of forestry. Current law limits  such use of the title  to a person who holds a baccalaureate or higher degree  from an institution  of higher education, having completed a degree program that  is accredited  by the Society and meets the Society's minimum education criteria  in certain fields of study. The bill contains  technical amendments."
37,"Firearms, etc.; permitted events.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1956,2019,Law and Crime,"SUMMARY AS INTRODUCED: Control of firearms; permitted events. Authorizes  any  locality by ordinance to prohibit the possession or carrying  of firearms,  ammunition, or components or any combination thereof  in a public space during a  permitted event or an event that would  otherwise require a permit. The bill contains technical amendments."
38,Law enforcement; DCJS to establish training standards and model policies.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1489,2019,Law and Crime,"SUMMARY AS INTRODUCED: Department of Criminal Justice Services; training  standards  and model policies for law enforcement; persons experiencing  behavioral health  or substance abuse crises. Requires the  Department  of Criminal Justice Services to establish  training standards and  publish and periodically update model policies for  law-enforcement  personnel for sensitivity to and awareness of persons  experiencing  behavioral health or substance abuse crises, including chronic  homeless  inebriates."
39,Commending Community of Faith Mission.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ895,2019,Social Welfare,SUMMARY AS INTRODUCED: Commending Community of Faith Mission.
42,Judge; nomination for election to Court of Appeals of Virginia.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SR121,2019,Government Operations,SUMMARY AS INTRODUCED: Nominating a person to be elected to the  Court  of Appeals of Virginia.
43,Coal combustion residuals; cleanup costs.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1534,2019,Energy,"SUMMARY AS INTRODUCED: Coal combustion residuals; cleanup costs. Authorizes an electric utility to recover the costs of the permitted cleanup in the Chesapeake Bay watershed of coal combustion residuals that are generated from the burning of coal for the purpose of generating electricity. The bill provides that such cleanup costs shall be recovered over a 25-year period and shall not include any adjustments or compensation intended to compensate the utility for carrying costs, the length of the period of reimbursement, or interest on funds advanced by the utility or any rate of return on such funds. This bill was incorporated into SB 1355."
44,"Handguns; limitation on purchases, penalty.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1446,2019,Law and Crime,"SUMMARY AS INTRODUCED: Purchase of handguns; limitation on handgun purchases; penalty. Prohibits any person who is not a licensed firearms dealer from purchasing more than one handgun in a 30-day period and establishes such an offense as a Class 1 misdemeanor. The bill exempts from this provision (i) persons who have been issued a certificate by the Department of State Police under certain circumstances and with an enhanced background check, (ii) law-enforcement agencies and officers, (iii) state and local correctional facilities, (iv) licensed private security companies, (v) persons who hold a valid Virginia concealed handgun permit, (vi) persons whose handgun has been stolen or irretrievably lost or who are trading in a handgun, (vii) purchases of handguns in a private sale, and (viii) purchases of antique firearms."
45,Commending Cameron Wooldridge and Jacob Turpin.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SR159,2019,Education,SUMMARY AS INTRODUCED: Commending Cameron Wooldridge and Jacob Turpin.
46,"Certificate of public need; nursing homes and hospitals, establishing a disaster exemption.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1870,2019,Health,SUMMARY AS PASSED HOUSE: Certificate of public need; hospitals and nursing homes; disaster exemption; regulations. Provides for a 30-day exemption from the requirement to obtain a certificate of public need for an increase in the total number of beds in existing hospitals or nursing homes if the State Health Commissioner has determined that a natural or man-made disaster has caused the evacuation of a hospital or nursing home and that a public health emergency exists due to a shortage of hospital or nursing home beds. The Board of Health shall adopt regulations for this exemption. This bill is identical to SB 1277. SUMMARY AS INTRODUCED: Certificate of public need;  nursing  homes and hospitals; disaster exemption. Provides for a 30-day  exemption from the  requirement to obtain a certificate of public  need for an increase in the total number of beds  in nursing homes  or hospitals if the State Health Commissioner  has determined that  a natural or man-made disaster  has caused the evacuation of nursing  homes or hospitals and that a public  health emergency exists due  to a shortage of nursing home or hospital beds.
47,"DVS & TAX; feasibility of exempting military retirement income from taxation, report.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ674,2019,Defense,"SUMMARY AS INTRODUCED: Study; Department of Veterans Services and Department  of  Taxation; feasibility of exempting military  retirement income  from taxation; report. Requests  the Department of Veterans Services  and the Department of Taxation (the Agencies) to convene a joint working  group to study the  feasibility of exempting military retirement income  from taxation. Under  current law, military retirement income is tax-exempt  only for recipients of the Congressional Medal of Honor. The Agencies   are directed to consider potential revenue losses, the effects of  phasing in  the exemption over different time frames, the positive  effects for Virginia's  current population of veterans, and the impact  on the Commonwealth's  competitiveness as a desirable state of residence   for veterans compared with other states."
48,Commending the Honorable Robert W. Goodlatte.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ743,2019,Government Operations,SUMMARY AS INTRODUCED: Commending the Honorable Robert W. Goodlatte.
55,Workers' compensation; coverage for certain employees.,https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1750,2019,Government Operations,"SUMMARY AS INTRODUCED: Workers' Compensation; coverage for certain employees. Ends the exclusion from coverage under the Virginia Workers' Compensation Act for a person who suffers an injury if there is jurisdiction under either the Longshore and Harbor Workers' Compensation Act or the Merchant Marine Act of 1920. The bill provides that this exclusion, enacted in 2012, will not apply to a person who suffers an injury on or after July 1, 2019."
56,"Meat; food labeling, misbranding.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB2274,2019,Domestic Commerce,"SUMMARY AS INTRODUCED: Meat; food labeling; misbranding. Provides  that a food product shall be deemed misbranded if it purports to be,  or is represented as, a meat  food product while containing no meat,  except to the extent  that its label bears the word ""imitation"" followed  by the name  of the meat food product being imitated."
58,"Energy conservation measures; establishes, providing incentives for development of electric energy.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB2789,2019,Energy,"SUMMARY AS PASSED HOUSE: Direct the establishment of energy conservation measures providing incentives for the development of electric energy delivered from sunlight. Requires Dominion Power and Appalachian Power Company to a seek approval for a three-year program of energy conservation measures providing incentives to low income, elderly and disabled individuals in an amount not to exceed $25 million in the aggregate for the installation of measures that reduce residential heating and cooling costs and enhance the health and safety of residents. The measure also requires the utilities to develop a program of energy conservation measures providing incentives, open to low income, elderly and disabled individuals who also participate in the above-described incentive program, in an amount not to exceed $25 million in the aggregate, for the installation of equipment to develop electric energy derived from sunlight. The measure provides that the utilities may provide such incentives directly to customers or to organizations that assist low income, elderly and disabled individuals. The measure directs that in developing such incentive programs, each utility shall give consideration to low income, elderly and disabled persons residing in housing that a redevelopment and housing authority owns or controls. SUMMARY AS INTRODUCED: Direct the establishment of energy conservation measures providing incentives for the development of electric energy delivered from sunlight. Requires Dominion Power and Appalachian Power Company to a seek approval for a three-year program of energy conservation measures providing incentives to low income, elderly and disabled individuals in an amount not to exceed $25 million in the aggregate for the installation of measures that reduce residential heating and cooling costs and enhance the health and safety of residents. The measure also requires the utilities to develop a program of energy conservation measures providing incentives, open to low income, elderly and disabled individuals who also participate in the above-described incentive program, in an amount not to exceed $25 million in the aggregate, for the installation of equipment to develop electric energy derived from sunlight. The measure provides that the utilities may provide such incentives directly to customers or to organizations that assist low income, elderly and disabled individuals. The measure directs that in developing such incentive programs, each utility shall give consideration to low income, elderly and disabled persons residing in housing that a redevelopment and housing authority owns or controls."
59,"Nonconforming use; a wall built on residential property shall be grandfathered as a valid use, etc.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB2420,2019,Housing,"SUMMARY AS INTRODUCED: Grandfathering certain nonconforming use. Provides  that  a wall built on residential property shall be grandfathered  as a valid  nonconforming use, and the wall shall not be subject to  removal solely due to  such nonconformity, in any instance where (i)  a residential property owner  sought local government approval prior  to 2008 for construction of a wall on  the owner's property, (ii)  the property owner was informed by a local official  that such wall  required no permit and that the structure would comply with the  zoning  ordinance, (iii) the wall was thereafter constructed, (iv) the locality   subsequently informed the property owner that the wall was illegal,  and (v)  such a wall, had it been constructed as described in clauses  (ii) and (iii)  after 2017, would be considered a valid nonconforming  use not subject to removal."
60,"Pet shops; procurement of certain dogs, penalty.",https://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1043,2019,Agriculture,SUMMARY AS INTRODUCED: Pet shops; procurement of dogs; penalty.  Prohibits a  commercial dog breeder from selling a dog without providing  to the purchaser a form  signed by the breeder stating that the breeder  is in full compliance with the  requirements for a commercial dog  breeder and  prohibits a pet shop or dealer from purchasing a dog  without obtaining such  document. The bill directs the Commissioner  of Agriculture  and Consumer Services to develop and make available  such document on the  Department of Agriculture and Consumer Services  website.  The bill provides that a violation of these prohibitions  is a Class 1  misdemeanor.
63,Certificate of public need; establishing a new ambulatory surgery center in Hampton Roads.,https://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB365,2018,Health,"SUMMARY AS INTRODUCED: Certificate of public need; exception. Authorizes  the State Health Commissioner to  accept, review, and issue a certificate  of public need for the establishment of  a new ambulatory surgery  center located in Planning District 23 that will provide  orthopedic  services and for the acquisition of certain medical equipment."
64,Recount procedures; questioned ballots.,https://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB1589,2018,Government Operations,"SUMMARY AS INTRODUCED: Recount procedures; questioned ballots.  Provides that a  recount court may rule only on those questioned   ballots whose validity was challenged during the recount of the precinct.  At  the conclusion of the recount of each precinct, the number of  ballots for which  there is a question regarding the ballot's validity   shall be recorded by the recount officials at the same time that  the number of  valid ballots cast is recorded."
